#,氏名,月,売上(万円),経過月数
1,B,17-Sep,297,11
2,E,17-Sep,256,28
3,WW,17-Sep,248,7
4,XX,17-Sep,200,17
5,YY,17-Sep,200,6
6,ZZ,17-Sep,200,8
7,OOO,17-Sep,161,4
8,NNN,17-Sep,161,8
9,MMM,17-Sep,160,5
10,LLL,17-Sep,158,17
11,KKK,17-Sep,150,23
12,JJJ,17-Sep,147,7
13,III,17-Sep,147,11
14,GGG,17-Sep,146,5
15,HHH,17-Sep,142,2
16,GG,17-Sep,138,10
17,HH,17-Sep,134,17
18,II,17-Sep,132,28
19,JJ,17-Sep,131,5
20,KK,17-Sep,130,4
21,LL,17-Sep,128,5
22,MM,17-Sep,125,8
23,NN,17-Sep,125,6
24,OO,17-Sep,123,5
25,PP,17-Sep,120,6
26,QQ,17-Sep,118,5
27,RR,17-Sep,117,11
28,SS,17-Sep,115,5
29,TT,17-Sep,115,5
30,UU,17-Sep,111,2
31,VV,17-Sep,110,2
32,CCC,17-Sep,100,5
33,DDD,17-Sep,92,6
34,EEE,17-Sep,89,11
35,FFF,17-Sep,88,10
36,AA,17-Sep,85,14
37,BB,17-Sep,75,8
38,CC,17-Sep,75,6
39,DD,17-Sep,74,11
40,EE,17-Sep,66,6
41,FF,17-Sep,63,9
42,G,17-Sep,62,7
43,H,17-Sep,61,4
44,I,17-Sep,61,8
45,J,17-Sep,53,7
46,K,17-Sep,46,7
47,L,17-Sep,22,4
48,M,17-Sep,3,24
49,N,17-Sep,0,5
50,O,17-Sep,0,3
51,P,17-Sep,0,6
52,Q,17-Sep,0,1
53,R,17-Sep,0,4
54,S,17-Sep,0,8
55,T,17-Sep,0,1
56,U,17-Sep,0,5
57,V,17-Sep,0,3
58,W,17-Sep,0,1
59,X,17-Sep,0,1
60,Y,17-Sep,0,5
61,Z,17-Sep,0,5
62,D,17-Sep,0,4
63,F,17-Sep,0,11
64,C,17-Sep,0,5
65,ZZZ,17-Sep,0,3
66,YYY,17-Sep,0,6
