#,氏名,月,売上(万円),経過月数
1,A,17-Jun,326,29
2,B,17-Jun,288,3
3,C,17-Jun,285,3
4,D,17-Jun,221,25
5,E,17-Jun,209,5
6,F,17-Jun,197,7
7,G,17-Jun,197,14
8,H,17-Jun,191,8
9,I,17-Jun,178,5
10,J,17-Jun,169,8
11,K,17-Jun,163,4
12,L,17-Jun,162,7
13,M,17-Jun,146,3
14,N,17-Jun,141,4
15,O,17-Jun,140,2
16,P,17-Jun,135,4
17,Q,17-Jun,135,2
18,R,17-Jun,135,14
19,S,17-Jun,129,2
20,T,17-Jun,128,11
21,U,17-Jun,128,3
22,V,17-Jun,123,25
23,W,17-Jun,120,3
24,X,17-Jun,118,5
25,Y,17-Jun,115,3
26,Z,17-Jun,112,4
27,AA,17-Jun,112,5
28,BB,17-Jun,110,5
29,CC,17-Jun,105,13
30,DD,17-Jun,102,7
31,EE,17-Jun,95,2
32,FF,17-Jun,88,15
33,GG,17-Jun,85,2
34,HH,17-Jun,85,15
35,II,17-Jun,85,2
36,JJ,17-Jun,75,8
37,KK,17-Jun,73,14
38,LL,17-Jun,73,2
39,MM,17-Jun,68,6
40,NN,17-Jun,68,2
41,OO,17-Jun,55,2
42,PP,17-Jun,51,2
43,QQ,17-Jun,50,3
44,RR,17-Jun,50,6
45,SS,17-Jun,48,5
46,TT,17-Jun,45,4
47,UU,17-Jun,41,8
48,VV,17-Jun,40,1
49,WW,17-Jun,40,8
50,XX,17-Jun,40,4
51,YY,17-Jun,37,1
52,ZZ,17-Jun,31,1
53,AAA,17-Jun,26,6
54,BBB,17-Jun,25,2
55,CCC,17-Jun,24,1
56,DDD,17-Jun,24,3
57,EEE,17-Jun,16,2
58,FFF,17-Jun,15,2
59,GGG,17-Jun,14,21
60,HHH,17-Jun,12,1
61,III,17-Jun,0,3
62,JJJ,17-Jun,0,8
63,KKK,17-Jun,0,2
64,LLL,17-Jun,0,2
65,MMM,17-Jun,0,1
66,NNN,17-Jun,0,2
67,OOO,17-Jun,0,20
