#,氏名,月,売上(万円),経過月数
1,A,17-Jul,359,30
2,D,17-Jul,254,6
3,F,17-Jul,221,5
4,C,17-Jul,218,26
5,B,17-Jul,200,4
6,E,17-Jul,193,15
7,AA,17-Jul,184,2
8,BB,17-Jul,168,15
9,CC,17-Jul,166,5
10,DD,17-Jul,166,3
11,EE,17-Jul,155,9
12,FF,17-Jul,150,3
13,G,17-Jul,150,15
14,H,17-Jul,149,2
15,I,17-Jul,140,3
16,J,17-Jul,136,12
17,K,17-Jul,136,8
18,L,17-Jul,135,16
19,M,17-Jul,134,6
20,N,17-Jul,127,5
21,O,17-Jul,123,8
22,P,17-Jul,123,26
23,Q,17-Jul,120,4
24,R,17-Jul,120,4
25,S,17-Jul,113,3
26,T,17-Jul,110,3
27,U,17-Jul,110,16
28,V,17-Jul,110,3
29,W,17-Jul,108,6
30,X,17-Jul,107,9
31,Y,17-Jul,103,4
32,Z,17-Jul,101,9
33,AAA,17-Jul,98,3
34,BBB,17-Jul,90,9
35,CCC,17-Jul,89,2
36,DDD,17-Jul,88,5
37,EEE,17-Jul,85,6
38,FFF,17-Jul,85,8
39,GG,17-Jul,84,4
40,HH,17-Jul,82,3
41,II,17-Jul,77,5
42,JJ,17-Jul,73,3
43,KK,17-Jul,71,3
44,LL,17-Jul,70,4
45,MM,17-Jul,52,3
46,NN,17-Jul,50,5
47,OO,17-Jul,43,3
48,PP,17-Jul,42,22
49,QQ,17-Jul,42,3
50,RR,17-Jul,42,2
51,SS,17-Jul,41,2
52,TT,17-Jul,40,4
53,UU,17-Jul,37,4
54,VV,17-Jul,36,9
55,WW,17-Jul,35,6
56,XX,17-Jul,30,7
57,YY,17-Jul,29,2
58,ZZ,17-Jul,25,9
59,OOO,17-Jul,22,2
60,NNN,17-Jul,20,3
61,MMM,17-Jul,20,6
62,LLL,17-Jul,5,3
63,KKK,17-Jul,0,14
64,JJJ,17-Jul,0,1
65,III,17-Jul,0,1
66,GGG,17-Jul,0,21
67,HHH,17-Jul,0,1
